AID	TelemDate	TimeLag	AEA_X	AEA_Y
56B	2010-05-08 14:00:00.000	60	-1061319.98335613	2494991.00439526
56B	2010-05-08 15:00:00.000	60	-1061364.26126825	2494993.95193129
56B	2010-05-08 16:00:00.000	60	-1061341.87714585	2495005.37684284
56B	2010-05-08 17:00:00.000	60	-1061011.58704939	2494786.1550412
56B	2010-05-08 18:00:00.000	60	-1060912.8154982	2494628.10165071
56B	2010-05-08 19:00:00.000	60	-1060494.97022329	2494490.8835057
56B	2010-05-08 20:00:00.000	60	-1060206.79094902	2494658.96670989
56B	2010-05-08 21:00:00.000	60	-1060265.42487999	2494723.56128972
56B	2010-05-08 22:00:00.000	60	-1060249.31891214	2494707.7684882
56B	2010-05-08 23:00:00.000	60	-1060246.05565468	2494909.73966418
56B	2010-05-09 00:00:00.000	60	-1060244.19919338	2494877.98480991
56B	2010-05-09 01:00:00.000	60	-1060243.54419672	2494921.75258026
56B	2010-05-09 02:00:00.000	60	-1060232.60384464	2494903.32258549
56B	2010-05-09 03:00:00.000	60	-1060234.47528061	2494912.58665261
56B	2010-05-09 04:00:00.000	60	-1060461.92253204	2494991.13921157
56B	2010-05-09 05:00:00.000	60	-1060468.48712739	2495001.07285436
56B	2010-05-09 06:00:00.000	60	-1060832.3974149	2494828.06277836
56B	2010-05-09 07:00:00.000	60	-1061252.95273278	2495069.15905215
56B	2010-05-09 08:00:00.000	60	-1061410.70989487	2495210.8970075
56B	2010-05-09 09:00:00.000	60	-1061373.15850792	2495211.1587329
56B	2010-05-09 10:00:00.000	60	-1061288.34216754	2495419.48331188
56B	2010-05-09 11:00:00.000	60	-1061372.26497268	2495345.99106998
56B	2010-05-09 12:00:00.000	60	-1061573.40744131	2495239.75267032
56B	2010-05-09 13:00:00.000	60	-1061653.66428289	2495611.1085895
56B	2010-05-09 14:00:00.000	60	-1061648.61217995	2495663.24631076
56B	2010-05-09 15:00:00.000	60	-1061666.43988281	2495672.54055304
56B	2010-05-09 16:00:00.000	60	-1061627.41910467	2495565.74755623
56B	2010-05-09 17:00:00.000	60	-1061662.38919475	2495292.94854753
56B	2010-05-09 18:00:00.000	60	-1061277.99835707	2494860.1720144
56B	2010-05-09 19:00:00.000	60	-1060799.27673534	2494327.3590467
56B	2010-05-09 20:00:00.000	60	-1060728.86816856	2494317.31320131
56B	2010-05-09 21:00:00.000	60	-1060777.50498743	2494356.86801368
